source_file,sheet,source_column,raw_township,raw_state_region,row_count,first_sample_row,top_suggestion,top_confidence,status,notes
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Ka Nyut Kwin,BAGO EAST,1,2855,Oktwin (Bago (East)),62.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Oktwin (Bago (East))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kamayut,YANGON,1,410,Kamaryut (Yangon),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kamaryut (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kan ma,MAGWAY,1,1738,Kamma (Magway),80.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kamma (Magway)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyan Khin,AYEYARWADDY,1,1206,Yankin (Yangon),85.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Yankin (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyauk Tagar,BAGO EAST,1,3380,Kyauktaga (Bago (East)),94.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyauktaga (Bago (East))
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Kyeikmaraw,Mon,1,31,Kyaikmaraw (Mon),90.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaikmaraw (Mon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,LANMATAW,YANGON,1,93,Lanmadaw (Yangon),87.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Lanmadaw (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Lanmataw,YANGON,1,3357,Lanmadaw (Yangon),87.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Lanmadaw (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Launglone,TANINTHARYI,1,2184,Launglon (Tanintharyi),94.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Launglon (Tanintharyi)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MYITTHAR,MANDALAY,1,223,Myittha (Mandalay),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myittha (Mandalay)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Maw Kyun,AYEYARWADDY,1,864,Maubin (Ayeyarwady),61.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Maubin (Ayeyarwady)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Myaunaung,AYEYARWADDY,1,2609,Myanaung (Ayeyarwady),94.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myanaung (Ayeyarwady)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Nahtogyi,MANDALAY,1,1414,Natogyi (Mandalay),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Natogyi (Mandalay)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Nam San,SHAN,1,151,Namhsan (Shan (North)),92.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Namhsan (Shan (North))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Nat Mount,MAGWAY,1,301,Natmauk (Magway),66.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Natmauk (Magway)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Natmount,MAGWAY,1,302,Natmauk (Magway),66.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Natmauk (Magway)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,OAKKAN,YANGON,1,281,Kyauktan (Yangon),57.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyauktan (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Paungdale,BAGO WEST,1,2864,Paungde (Bago (West)),87.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Paungde (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Phyue,BAGO EAST,1,369,Phyu (Bago (East)),88.9,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Phyu (Bago (East))
